Damage,Common,Rare,Mythic,Summoner,Hidden,Bonus,Average stat points
"~26,000",1,0,0,?,?,-,1.23
"~114,000",2,0,0,?,?,-,2.46
"185,000",3,0,0,?,?,-,3.69
"~316,000",3,1,0,?,?,-,6.77
"475,000",4,1,0,?,?,-,8.00
"655,000",4,2,0,?,?,-,11.08
"920,000",4,2,1,?,?,-,18.19
"1,200,000",4,3,1,?,?,"DV4",21.27
"~1,508,000",5,3,1,?,?,-,22.5
"~1,840,000",5,3,2,?,?,-,29.61
"~2,205,000",6,3,2,?,?,-,30.84
"~2,529,000",6,4,2,?,?,-,33.92
"3,000,000",6,4,3,SL1,?,"DV7",41.03
DV4,+0,+1,+0,-,-,DV4,+3.08
DV7,+0,+0,+1,-,-,DV7,+7.11
