Damage,Common,Rare,Mythic,Hidden,Bonus,Average stat points
"~50,000",1,0,0,?,?,1.61
"~123,000",2,0,0,?,?,3.22
"~219,000",3,0,0,?,?,4.83
"~339,000",3,1,0,?,?,7.31
"~553,000",4,1,0,?,?,8.92
"~879,000",5,1,0,?,?,10.53
"~1,322,588",5,2,0,?,?,13.01
"1,500,000",5,2,1,?,DV4,28.69
"~1,815,000",5,3,1,?,DV4,31.17
"~2,111,00",6,3,1,?,DV4,32.78
"~2,635,000",6,4,1,SK1,DV4,35.26
"~3,034,683",6,4,2,SK1,DV4,50.94
"~3,512,155",6,5,2,SK1,DV4,53.42
"3,900,000",6,5,3,"SK1,SK2","DV4,DV7",69.10
"DV4",+0,+1,+0,-,DV4,+2.48
"DV7",+0,+0,+1,-,DV7,+15.68
