Damage,Common,Rare,Mythic,Hidden,Bonus,Average stat points
"~150,000",1,0,0,?,?,4.29
"~515,000",2,0,0,?,?,8.58
"~710,000",3,0,0,?,?,12.87
"~1,203,000",3,1,0,?,?,19.33
"~1,766,000",4,1,0,?,?,23.62
"~2,360,000",5,1,0,?,?,27.91
"~3,351,000",5,2,0,?,?,34.37
"4,500,000",5,2,1,?,DV4,58.48
"~5,432,000",5,3,1,?,-,64.94
"~6,430,000",6,3,1,?,-,69.23
"~7,598,000",6,4,1,?,-,75.69
"8,930,000",6,4,2,?,-,99.80
"~10,227,000",6,5,2,?,-,106.26
"11,700,000",6,5,3,"SK1,SK2","DV4,DV7",130.37
"DV4",+0,+1,+0,-,DV4,+6.46
"DV7",+0,+0,+1,-,DV7,+24.11
