Damage,Common,Rare,Mythic,Summoner,Hidden,Bonus,Average stat points
"?",1,0,0,?,?,?,?
"?",2,0,0,?,?,?,?
"?",3,0,0,?,?,?,?
"~1,010,000",4,0,0,?,?,?,?
"~1,460,000",4,1,0,?,?,?,?
"~2,066,000",4,1,1,?,?,?,?
"~3,011,000",5,1,1,?,?,?,?
"4,050,000",5,2,1,?,?,DV4,?
"~6,864,970",5,3,1,?,?,DV4,?
"~11,751,127",5,3,2,?,?,DV4,?
"~16,011,738",6,3,2,?,?,DV4,?
"~22,365,736",7,3,2,?,?,DV4,?
"~27,254,618",7,4,2,?,?,DV4,?
"~34,139,622",7,4,3,?,?,DV4,?
"40,500,000",?,?,?,?,SK1,"DV4, DV7",?
DV4,+0,+1,+0,-,-,DV4,-
DV7,+0,+0,+0,-,-,DV7,-
