Damage,Common,Rare,Mythic,Summoner,Hidden,Bonus,Average stat points
"~186,000",1,0,0,?,?,?,?
"~297,158",2,0,0,?,?,?,?
"~378,560",3,0,0,?,?,?,?
"~547,000",4,0,0,?,?,?,?
"725,000",5,0,0,?,?,?,?
"~950,065",5,1,0,?,?,?,?
"~1,216,438",5,1,1,?,?,?,?
"1,440,000",5,2,1,?,?,?,?
"~2,504,192",6,2,1,?,?,"DV5",?
"~3,798,613",6,3,1,?,?,"DV5",?
"~5,340,178",7,3,1,?,?,"DV5",?
"~7,603,000",7,3,2,?,?,"DV5",?
"~9,588,086",7,4,2,?,?,"DV5",?
"~11,580,000",7,5,2,?,?,"DV5",?
"~14,507,000",7,5,3,?,?,"DV5",?
"~19,780,228",8,5,3,?,?,"DV5",?
"~20,233,907",8,6,3,?,?,"DV5",?
"23,040,000",8,6,4,SL1,?,"DV5, DV8",?
DV5,+0,+1,+0,-,-,DV5,-
DV8,+0,+0,+1,-,-,DV8,-
