Damage,Common,Rare,Mythic,Summoner,Hidden,Bonus,Average stat points
"~?",1,0,0,?,?,?,?
"~1,004,735",2,0,0,?,?,?,?
"~1,012,300",3,0,0,?,?,?,?
"~1,610,4905",4,0,0,?,?,?,?
"~2,233,955",5,0,0,?,?,?,?
"~3,514,455",5,1,0,?,?,?,?
"~3,577,157",5,1,1,?,?,?,?
"4,320,000",?,?,?,?,?,?,?
???,?,?,?,?,?,?,?
"~12,985,842",6,3,1,?,?,DV5,?
"~20,097,177",7,3,1,?,?,DV5,?
???,?,?,?,?,?,DV5,?
"~30,111,858",7,4,2,?,?,DV5,?
???,?,?,?,?,?,DV5,?
"69,120,000",?,?,?,"SL1,SL2",?,"DV5, DV8",?
DV5,+0,+0,+0,-,-,DV5,-
DV8,+0,+0,+0,-,-,DV8,-
